GEOID,X,Y
1.70E+14,-87.62943948,41.76817112
1.70E+14,-87.6344684,41.77353312
1.70E+14,-87.63590407,41.77305812
1.70E+14,-87.73804333,41.8598251
1.70E+14,-87.7311428,41.85586883
1.70E+14,-87.73103494,41.85786643
1.70E+14,-87.70457519,41.85058017
1.70E+14,-87.69866769,41.85078807
1.70E+14,-87.68928777,41.85291478
1.70E+14,-87.67522747,41.69612909
1.70E+14,-87.65023387,41.72343501
1.70E+14,-87.64947116,41.7239442
1.70E+14,-87.6515502,41.70045327
1.70E+14,-87.65133322,41.69897038
1.70E+14,-87.6832343,41.77803428
1.70E+14,-87.67288131,41.77481072
1.70E+14,-87.67642137,41.78173928
1.70E+14,-87.73282416,41.79918406
1.70E+14,-87.76889647,41.79903301
1.70E+14,-87.71046007,41.70422802
1.70E+14,-87.7132179,41.70486919
1.70E+14,-87.68775943,41.69628182
1.70E+14,-87.687071,41.70291279
1.70E+14,-87.70815337,41.74857285
1.70E+14,-87.70675401,41.76318484
1.70E+14,-87.70841352,41.76858279
1.70E+14,-87.73068529,41.7783368
1.70E+14,-87.74353745,41.79882828
1.70E+14,-87.7563322,41.7954673
1.70E+14,-87.78507188,41.7815153
1.70E+14,-87.78662415,41.78217852
1.70E+14,-87.78697403,41.78339602
1.70E+14,-87.80046668,41.78929049
1.70E+14,-87.67533664,41.72560147
1.70E+14,-87.64051181,41.66276829
1.70E+14,-87.6400103,41.66600135
1.70E+14,-87.70821351,41.73988406
1.70E+14,-87.72132995,41.74081188
1.70E+14,-87.72362929,41.74706682
1.70E+14,-87.71813859,41.74613078
1.70E+14,-87.71818104,41.74750209
1.70E+14,-87.64421265,41.74608321
1.70E+14,-87.64099627,41.75087816
1.70E+14,-87.6357522,41.73600474
1.70E+14,-87.63476801,41.73489822
1.70E+14,-87.66538264,41.78946592
1.70E+14,-87.67239209,41.80217047
1.70E+14,-87.66434462,41.79676404
1.70E+14,-87.66298059,41.79131977
1.70E+14,-87.65043361,41.78671838
1.70E+14,-87.64638908,41.78283233
1.70E+14,-87.65330137,41.69154355
1.70E+14,-87.64170428,41.69987577
1.70E+14,-87.65081046,41.6896728
1.70E+14,-87.64897152,41.68920517
1.70E+14,-87.65504649,41.77866999
1.70E+14,-87.64956922,41.74236444
1.70E+14,-87.64660881,41.76769185
1.70E+14,-87.64912146,41.77149763
1.70E+14,-87.6575336,41.77930496
1.70E+14,-87.66272742,41.78063123
1.70E+14,-87.70974935,41.79593455
1.70E+14,-87.70094052,41.79812461
1.70E+14,-87.58658894,41.75830328
1.70E+14,-87.58810174,41.76011668
1.70E+14,-87.63230223,41.78987849
1.70E+14,-87.62876562,41.78861038
1.70E+14,-87.61773936,41.7681687
1.70E+14,-87.61729296,41.76658009
1.70E+14,-87.7240499,41.86829118
1.70E+14,-87.75944995,41.87214218
1.70E+14,-87.7735262,41.86569469
1.70E+14,-87.73408465,41.87584257
1.70E+14,-87.74539291,41.87542605
1.70E+14,-87.7594327,41.88057752
1.70E+14,-87.69968489,41.87056721
1.70E+14,-87.67512653,41.86011697
1.70E+14,-87.67985512,41.86443462
1.70E+14,-87.66263391,41.86127133
1.70E+14,-87.63111074,41.82498511
1.70E+14,-87.62961368,41.8182721
1.70E+14,-87.69774615,41.87901176
1.70E+14,-87.6693846,41.873496
1.70E+14,-87.66927724,41.87039645
1.70E+14,-87.68016718,41.87514827
1.70E+14,-87.62656051,41.84753235
1.70E+14,-87.62170782,41.86048424
1.70E+14,-87.63925355,41.88124254
1.70E+14,-87.79997124,41.92810246
1.70E+14,-87.79806551,41.92630313
1.70E+14,-87.80357011,41.97574217
1.70E+14,-87.80355945,41.97654227
1.70E+14,-87.80188085,41.97101252
1.70E+14,-87.54286566,41.70004302
1.70E+14,-87.53619436,41.71100382
1.70E+14,-87.53741046,41.71420271
1.70E+14,-87.54220777,41.73044107
1.70E+14,-87.5410673,41.73074785
1.70E+14,-87.53948228,41.73299454
1.70E+14,-87.56337045,41.74340118
1.70E+14,-87.56212831,41.74178859
1.70E+14,-87.5630885,41.74472893
1.70E+14,-87.5970021,41.79871804
1.70E+14,-87.81399134,41.94398969
1.70E+14,-87.81599855,41.94049713
1.70E+14,-87.81176707,41.9497163
1.70E+14,-87.82937853,41.97580956
1.70E+14,-87.83057136,41.97720301
1.70E+14,-87.82894249,41.97868892
1.70E+14,-87.80523247,41.98097024
1.70E+14,-87.80493116,41.98385569
1.70E+14,-87.80508006,41.98552786
1.70E+14,-87.58211538,41.76472789
1.70E+14,-87.64573448,41.88257245
1.70E+14,-87.65379551,41.88236996
1.70E+14,-87.80789876,42.00783014
1.70E+14,-87.7788934,41.98541719
1.70E+14,-87.76701616,41.97204269
1.70E+14,-87.79104998,41.99282703
1.70E+14,-87.77343386,41.89860866
1.70E+14,-87.75452888,41.92138966
1.70E+14,-87.75460428,41.91339913
1.70E+14,-87.74906269,41.914996
1.70E+14,-87.75038025,41.91711932
1.70E+14,-87.75667678,41.9122371
