service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1901,0,0,0,0,0,0,0,20171019,20171231
1902,0,0,0,0,0,0,0,20171019,20171231
1903,0,0,0,0,0,0,0,20171019,20171231
1911,0,0,0,0,0,0,0,20171019,20171231
13001,1,1,1,1,1,0,0,20171019,20171020
13006,0,0,0,0,0,1,0,20171019,20171020
13009,0,0,0,0,0,0,1,20171019,20171020
13011,1,1,1,1,1,0,0,20171022,20171023
13016,0,0,0,0,0,1,0,20171022,20171023
13019,0,0,0,0,0,0,1,20171022,20171023
48201,1,1,1,1,1,0,0,20171019,20171021
48202,1,1,1,1,0,0,0,20171019,20171021
48203,0,1,1,1,1,0,0,20171019,20171021
48204,0,1,1,1,1,0,0,20171019,20171021
48205,0,0,0,0,1,0,0,20171019,20171021
48206,0,0,0,0,0,1,0,20171019,20171021
48207,0,0,0,0,0,1,0,20171019,20171021
48208,0,0,0,0,0,0,1,20171019,20171021
48209,0,0,0,0,0,0,1,20171019,20171021
48210,0,0,1,1,1,1,0,20171019,20171021
48211,0,1,1,1,1,1,0,20171019,20171021
48212,0,1,1,1,1,1,0,20171019,20171021
48213,1,0,0,0,0,0,0,20171019,20171021
48214,1,0,0,0,0,0,0,20171019,20171021
48215,1,0,0,0,0,0,0,20171019,20171021
48216,0,1,0,0,0,0,0,20171019,20171021
48217,0,1,0,0,0,0,0,20171019,20171021
48218,1,0,1,1,1,0,0,20171019,20171021
48219,1,0,1,1,1,0,0,20171019,20171021
48220,0,0,1,0,0,0,0,20171019,20171021
48221,0,0,1,0,0,0,0,20171019,20171021
48222,1,1,0,1,1,0,0,20171019,20171021
48223,1,1,0,1,1,0,0,20171019,20171021
48224,0,0,0,1,0,0,0,20171019,20171021
48225,0,0,0,1,0,0,0,20171019,20171021
48226,1,1,1,0,1,0,0,20171019,20171021
48227,1,1,1,0,1,0,0,20171019,20171021
48228,0,1,1,0,0,0,0,20171019,20171021
48229,0,1,1,0,0,0,0,20171019,20171021
48230,1,0,0,1,1,0,0,20171019,20171021
48231,1,0,0,1,1,0,0,20171019,20171021
48232,1,1,0,0,1,0,0,20171019,20171021
48233,1,1,0,0,1,0,0,20171019,20171021
48234,1,1,1,1,1,0,1,20171019,20171021
48235,1,1,1,1,1,0,1,20171019,20171021
48236,1,1,1,1,1,1,0,20171019,20171021
48237,1,1,1,1,1,1,0,20171019,20171021
48238,1,1,1,1,1,1,0,20171019,20171021
48239,1,1,1,1,1,0,0,20171019,20171021
48240,1,1,1,1,0,0,1,20171019,20171021
48301,1,1,1,1,1,0,0,20171022,20171231
48302,1,1,1,1,0,0,0,20171022,20171231
48303,0,1,1,1,1,0,0,20171022,20171231
48304,0,1,1,1,1,0,0,20171022,20171231
48305,0,0,0,0,1,0,0,20171022,20171231
48306,0,0,0,0,0,1,0,20171022,20171231
48307,0,0,0,0,0,1,0,20171022,20171231
48308,0,0,0,0,0,0,1,20171022,20171231
48309,0,0,0,0,0,0,1,20171022,20171231
48310,0,0,1,1,1,1,0,20171022,20171231
48311,0,1,1,1,1,1,0,20171022,20171231
48312,0,1,1,1,1,1,0,20171022,20171231
48313,1,0,0,0,0,0,0,20171022,20171231
48314,1,0,0,0,0,0,0,20171022,20171231
48315,1,0,0,0,0,0,0,20171022,20171231
48316,0,1,0,0,0,0,0,20171022,20171231
48317,0,1,0,0,0,0,0,20171022,20171231
48318,1,0,1,1,1,0,0,20171022,20171231
48319,1,0,1,1,1,0,0,20171022,20171231
48320,0,0,1,0,0,0,0,20171022,20171231
48321,0,0,1,0,0,0,0,20171022,20171231
48322,1,1,0,1,1,0,0,20171022,20171231
48323,1,1,0,1,1,0,0,20171022,20171231
48324,0,0,0,1,0,0,0,20171022,20171231
48325,0,0,0,1,0,0,0,20171022,20171231
48326,1,1,1,0,1,0,0,20171022,20171231
48327,1,1,1,0,1,0,0,20171022,20171231
48328,0,1,1,0,0,0,0,20171022,20171231
48329,0,1,1,0,0,0,0,20171022,20171231
48330,1,0,0,1,1,0,0,20171022,20171231
48331,1,0,0,1,1,0,0,20171022,20171231
48332,1,1,0,0,1,0,0,20171022,20171231
48333,1,1,0,0,1,0,0,20171022,20171231
48334,1,1,1,1,1,0,1,20171022,20171231
48335,1,1,1,1,1,0,1,20171022,20171231
48336,1,1,1,1,1,1,0,20171022,20171231
48337,1,1,1,1,1,1,0,20171022,20171231
48338,1,1,1,1,1,1,0,20171022,20171231
48339,1,1,1,1,1,0,0,20171022,20171231
48340,1,1,1,1,0,0,1,20171022,20171231
105401,1,1,1,1,1,0,0,20171019,20171231
105402,1,1,1,1,0,0,0,20171019,20171231
105403,0,1,1,1,1,0,0,20171019,20171231
105404,0,1,1,1,1,0,0,20171019,20171231
105405,0,0,0,0,1,0,0,20171019,20171231
105406,0,0,0,0,0,1,0,20171019,20171231
105407,0,0,0,0,0,1,0,20171019,20171231
105408,0,0,0,0,0,0,1,20171019,20171231
105409,0,0,0,0,0,0,1,20171019,20171231
105410,0,0,1,1,1,1,0,20171019,20171231
105411,0,1,1,1,1,1,0,20171019,20171231
105412,0,1,1,1,1,1,0,20171019,20171231
105413,1,0,0,0,0,0,0,20171019,20171231
105414,1,0,0,0,0,0,0,20171019,20171231
105415,1,0,0,0,0,0,0,20171019,20171231
105416,0,1,0,0,0,0,0,20171019,20171231
105417,0,1,0,0,0,0,0,20171019,20171231
105418,1,0,1,1,1,0,0,20171019,20171231
105419,1,0,1,1,1,0,0,20171019,20171231
105420,0,0,1,0,0,0,0,20171019,20171231
105421,0,0,1,0,0,0,0,20171019,20171231
105422,1,1,0,1,1,0,0,20171019,20171231
105423,1,1,0,1,1,0,0,20171019,20171231
105424,0,0,0,1,0,0,0,20171019,20171231
105425,0,0,0,1,0,0,0,20171019,20171231
105426,1,1,1,0,1,0,0,20171019,20171231
105427,1,1,1,0,1,0,0,20171019,20171231
105428,0,1,1,0,0,0,0,20171019,20171231
105429,0,1,1,0,0,0,0,20171019,20171231
105430,1,0,0,1,1,0,0,20171019,20171231
105431,1,0,0,1,1,0,0,20171019,20171231
105432,1,1,0,0,1,0,0,20171019,20171231
105433,1,1,0,0,1,0,0,20171019,20171231
105434,1,1,1,1,1,0,1,20171019,20171231
105435,1,1,1,1,1,0,1,20171019,20171231
105436,1,1,1,1,1,1,0,20171019,20171231
105437,1,1,1,1,1,1,0,20171019,20171231
105438,1,1,1,1,1,1,0,20171019,20171231
105439,1,1,1,1,1,0,0,20171019,20171231
105440,1,1,1,1,0,0,1,20171019,20171231
205401,1,1,1,1,1,0,0,20171019,20171231
