service_id,date,exception_type
1901,20171024,1
1901,20171025,1
1902,20171102,1
1902,20171206,1
1903,20171106,1
1903,20171205,1
1911,20171114,1
13009,20171020,2
13006,20171021,2
13011,20171023,2
13019,20171022,2
48301,20171123,2
48301,20171225,2
48302,20171123,2
48302,20171225,2
48303,20171123,2
48303,20171225,2
48304,20171124,2
48304,20171226,2
48305,20171123,2
48305,20171225,2
48306,20171123,2
48306,20171225,2
48307,20171124,2
48307,20171226,2
48308,20171124,2
48308,20171226,2
48309,20171123,1
48309,20171225,1
48310,20171124,2
48310,20171226,2
48311,20171123,2
48311,20171225,2
48312,20171124,2
48312,20171226,2
48313,20171123,2
48313,20171225,2
48314,20171124,2
48314,20171226,2
48315,20171124,1
48315,20171226,1
48316,20171123,2
48316,20171225,2
48317,20171124,2
48317,20171226,2
48318,20171123,2
48318,20171225,2
48319,20171124,2
48319,20171226,2
48320,20171123,2
48320,20171225,2
48321,20171124,2
48321,20171226,2
48322,20171123,2
48322,20171225,2
48323,20171124,2
48323,20171226,2
48324,20171123,2
48324,20171225,2
48325,20171124,2
48325,20171226,2
48326,20171123,2
48326,20171225,2
48327,20171124,2
48327,20171226,2
48328,20171123,2
48328,20171225,2
48329,20171124,2
48329,20171226,2
48330,20171123,2
48330,20171225,2
48331,20171124,2
48331,20171226,2
48332,20171123,2
48332,20171225,2
48333,20171124,2
48333,20171226,2
48334,20171123,2
48334,20171225,2
48335,20171124,2
48335,20171226,2
48336,20171123,2
48336,20171225,2
48337,20171124,2
48337,20171226,2
48338,20171124,1
48338,20171226,1
48339,20171124,1
48339,20171226,1
48340,20171123,1
48340,20171225,1
105401,20171123,2
105401,20171225,2
105402,20171123,2
105402,20171225,2
105403,20171123,2
105403,20171225,2
105404,20171124,2
105404,20171226,2
105405,20171123,2
105405,20171225,2
105406,20171123,2
105406,20171225,2
105407,20171124,2
105407,20171226,2
105408,20171124,2
105408,20171226,2
105409,20171123,1
105409,20171225,1
105410,20171124,2
105410,20171226,2
105411,20171123,2
105411,20171225,2
105412,20171124,2
105412,20171226,2
105413,20171123,2
105413,20171225,2
105414,20171124,2
105414,20171226,2
105415,20171124,1
105415,20171226,1
105416,20171123,2
105416,20171225,2
105417,20171124,2
105417,20171226,2
105418,20171123,2
105418,20171225,2
105419,20171124,2
105419,20171226,2
105420,20171123,2
105420,20171225,2
105421,20171124,2
105421,20171226,2
105422,20171123,2
105422,20171225,2
105423,20171124,2
105423,20171226,2
105424,20171123,2
105424,20171225,2
105425,20171124,2
105425,20171226,2
105426,20171123,2
105426,20171225,2
105427,20171124,2
105427,20171226,2
105428,20171123,2
105428,20171225,2
105429,20171124,2
105429,20171226,2
105430,20171123,2
105430,20171225,2
105431,20171124,2
105431,20171226,2
105432,20171123,2
105432,20171225,2
105433,20171124,2
105433,20171226,2
105434,20171123,2
105434,20171225,2
105435,20171124,2
105435,20171226,2
105436,20171123,2
105436,20171225,2
105437,20171124,2
105437,20171226,2
105438,20171124,1
105438,20171226,1
105439,20171124,1
105439,20171226,1
105440,20171123,1
105440,20171225,1
205401,20171123,2
205401,20171225,2
