w_geocode,h_geocode,S000,SA01,SA03,SE01,SE02,SE03,SI01,SI02,SI03,createdate,SA02,origin_lon,origin_lat,dest_lon,dest_lat
170070103002011,170070101001001,5,0,2,1,3,1,0,0,5,20190825,3.0,-87.66731065,42.01791583,-87.66880857,42.02260271
170070103002011,170070103002005,5,0,2,1,4,0,0,0,5,20190825,3.0,-87.66731065,42.01791583,-87.66863234,42.01893462
170070103002011,170070104001006,5,0,2,2,1,2,0,0,5,20190825,3.0,-87.66731065,42.01791583,-87.66053955,42.00508705
170310102013004,170311004003009,4,0,1,2,1,1,0,0,4,20190825,3.0,-87.67678506,42.0134982,-87.81940562,41.98544877
170310104003005,170310103003000,5,0,0,0,1,4,0,0,5,20190825,5.0,-87.65614579,41.99863595,-87.66307531,42.01424501
170310104003005,170310104001002,4,1,0,0,0,4,0,0,4,20190825,3.0,-87.65614579,41.99863595,-87.66071083,42.00615729
170310104003005,170310104003003,5,1,4,1,0,4,0,0,5,20190825,0.0,-87.65614579,41.99863595,-87.65751309999999,42.00182602
170310104003005,170310104003014,5,1,3,1,1,3,0,0,5,20190825,1.0,-87.65614579,41.99863595,-87.66014593,41.99923522
170310104003005,170310105031006,4,1,1,1,1,2,0,0,4,20190825,2.0,-87.65614579,41.99863595,-87.66122318,41.99841306
170310104003005,170310105032007,6,1,1,1,1,4,0,0,6,20190825,4.0,-87.65614579,41.99863595,-87.66242209,42.00112662
170310104003005,170310301014001,5,1,3,0,2,3,0,0,5,20190825,1.0,-87.65614579,41.99863595,-87.65496849,41.99218135
170310104003005,170310301021002,5,0,1,0,2,3,0,0,5,20190825,4.0,-87.65614579,41.99863595,-87.6550225,41.99302645
170310104003005,170310301022000,5,0,3,0,0,5,0,0,5,20190825,2.0,-87.65614579,41.99863595,-87.65798982,41.99413003
170310104003005,170310301031000,6,0,1,0,0,6,0,0,6,20190825,5.0,-87.65614579,41.99863595,-87.65873184,41.9954815
170310104003005,170310301041001,4,0,2,0,2,2,0,0,4,20190825,2.0,-87.65614579,41.99863595,-87.65514926,41.99726628
170310104003005,170310301042000,4,0,0,0,0,4,0,0,4,20190825,4.0,-87.65614579,41.99863595,-87.65734294,41.99592431
170310104003005,170310302001003,4,0,1,1,0,3,0,0,4,20190825,3.0,-87.65614579,41.99863595,-87.66269267,41.99726241
170310104003005,170310306011000,7,1,2,1,1,5,0,0,7,20190825,4.0,-87.65614579,41.99863595,-87.65642166,41.98871361
170310104003005,170310306011001,4,2,2,0,0,4,0,0,4,20190825,0.0,-87.65614579,41.99863595,-87.65712151,41.98869968
170310104003005,170310306013003,10,2,4,2,2,6,0,0,10,20190825,4.0,-87.65614579,41.99863595,-87.65497192,41.987640999999996
170310104003005,170310306041002,4,0,1,1,0,3,0,0,4,20190825,3.0,-87.65614579,41.99863595,-87.65558649,41.9846316
170310104003005,170310307021000,4,1,0,0,0,4,0,0,4,20190825,3.0,-87.65614579,41.99863595,-87.65476167,41.98028402
170310104003005,170310311001003,4,2,1,1,0,3,0,0,4,20190825,1.0,-87.65614579,41.99863595,-87.66227518,41.97498653
170310104003005,170310311002002,5,0,1,2,1,2,0,0,5,20190825,4.0,-87.65614579,41.99863595,-87.66155045,41.97082651
170310104003005,170310314006005,4,0,2,2,1,1,0,0,4,20190825,2.0,-87.65614579,41.99863595,-87.64840433,41.96148292
170310104003005,170310608003001,4,1,1,0,0,4,0,0,4,20190825,2.0,-87.65614579,41.99863595,-87.64726459,41.95374057
170310104003005,170310609004002,5,1,3,1,0,4,0,0,5,20190825,1.0,-87.65614579,41.99863595,-87.64359549,41.94804473
170310104003005,170310609004005,5,0,3,1,2,2,0,0,5,20190825,2.0,-87.65614579,41.99863595,-87.64367903,41.94689357
170310104003005,170310701032002,5,0,2,1,1,3,0,0,5,20190825,3.0,-87.65614579,41.99863595,-87.64316685,41.92702926
170310104003005,170310801003000,4,1,0,1,0,3,0,0,4,20190825,3.0,-87.65614579,41.99863595,-87.62634123,41.90732237
170310104003005,170310812021010,6,0,5,1,3,2,0,0,6,20190825,1.0,-87.65614579,41.99863595,-87.62183817,41.90046036
170310104003005,170310818001016,4,0,1,2,1,1,0,0,4,20190825,3.0,-87.65614579,41.99863595,-87.63918946,41.89332428
170310104003005,170312801001038,4,0,0,0,2,2,0,0,4,20190825,4.0,-87.65614579,41.99863595,-87.64687764,41.88249891
170310104003005,170313201001015,4,1,3,2,0,2,0,0,4,20190825,0.0,-87.65614579,41.99863595,-87.62578757,41.8838583
170310104003005,170313201003008,4,0,2,0,4,0,0,0,4,20190825,2.0,-87.65614579,41.99863595,-87.61950825,41.88645105
170310104003005,170313201004018,4,0,3,1,1,2,0,0,4,20190825,1.0,-87.65614579,41.99863595,-87.61616763,41.88514554
170310104003005,170318306002011,4,1,0,0,0,4,0,0,4,20190825,3.0,-87.65614579,41.99863595,-87.67146872,42.00331548
170310201002005,170310205001000,6,0,1,5,1,0,0,0,6,20190825,5.0,-87.68987920000001,42.01828566,-87.67826313,41.99906319
170310201002005,170310205001001,4,1,0,2,2,0,0,0,4,20190825,3.0,-87.68987920000001,42.01828566,-87.67967551,41.99904937
170310201002005,170310205003004,5,0,0,3,2,0,0,0,5,20190825,5.0,-87.68987920000001,42.01828566,-87.68119847,42.00289373
170310201002005,170310208024004,4,0,1,2,2,0,0,0,4,20190825,3.0,-87.68987920000001,42.01828566,-87.69137358,41.99657124
170310201002005,170310301041001,4,0,1,2,2,0,0,0,4,20190825,3.0,-87.68987920000001,42.01828566,-87.65514926,41.99726628
170310201002005,170317608033000,4,0,0,3,1,0,0,0,4,20190825,4.0,-87.68987920000001,42.01828566,-87.84026769,41.97639922
170310206021011,170310306041002,7,1,0,0,0,7,0,0,7,20190825,6.0,-87.69030473,42.00227046,-87.65558649,41.9846316
170310206021011,170310306042001,7,0,0,0,0,7,0,0,7,20190825,7.0,-87.69030473,42.00227046,-87.65289835,41.98568461
170310206021011,170310307021000,5,3,0,0,0,5,0,0,5,20190825,2.0,-87.69030473,42.00227046,-87.65476167,41.98028402
