GEOID,X,Y
170070101001001,-87.66880857,42.02260271
170070103002005,-87.66863234,42.01893462
170070104001006,-87.66053955,42.00508705
170311004003009,-87.81940562,41.98544877
170310103003000,-87.66307531,42.01424501
170310104001002,-87.66071083,42.00615729
170310104003003,-87.65751309999997,42.00182602
170310104003014,-87.66014593,41.99923522
170310105031006,-87.66122318,41.99841306
170310105032007,-87.66242209,42.00112662
170310301014001,-87.65496849,41.99218135
170310301021002,-87.6550225,41.99302645
170310301022000,-87.65798982,41.99413003
170310301031000,-87.65873184,41.9954815
170310301041001,-87.65514926,41.99726628
170310301042000,-87.65734294,41.99592431
170310302001003,-87.66269267,41.99726241
170310306011000,-87.65642166,41.98871361
170310306011001,-87.65712151,41.98869968
170310306013003,-87.65497192,41.987641
170310306041002,-87.65558649,41.9846316
170310307021000,-87.65476167,41.98028402
170310311001003,-87.66227518,41.97498653
170310311002002,-87.66155045,41.97082651
170310314006005,-87.64840433,41.96148292
170310608003001,-87.64726459,41.95374057
170310609004002,-87.64359549,41.94804473
170310609004005,-87.64367903,41.94689357
170310701032002,-87.64316685,41.92702926
170310801003000,-87.62634123,41.90732237
170310812021010,-87.62183817,41.90046036
170310818001016,-87.63918946,41.89332428
170312801001038,-87.64687764,41.88249891
170313201001015,-87.62578757,41.8838583
170313201003008,-87.61950825,41.88645105
170313201004018,-87.61616763,41.88514554
170318306002011,-87.67146872,42.00331548
170310205001000,-87.67826313,41.99906319
170310205001001,-87.67967551,41.99904937
170310205003004,-87.68119847,42.00289373
170310208024004,-87.69137358,41.99657124
170310301041001,-87.65514926,41.99726628
170317608033000,-87.84026769,41.97639922
170310306041002,-87.65558649,41.9846316
170310306042001,-87.65289835,41.98568461
170310307021000,-87.65476167,41.98028402
170310307022000,-87.65491446,41.98148518
170310209011000,-87.68370501,41.99601169
170310209021002,-87.67594892,41.99699001
170310209021008,-87.67701002,41.9949042
170310209021013,-87.67634189,41.99383937
170310209021022,-87.67587809,41.99134636
170310209022002,-87.68113538,41.99382878
170310209022005,-87.67920208,41.99343117
170310209022008,-87.67951555,41.99249339
170310209022009,-87.6788153,41.99250444
170310307011000,-87.65623955,41.98277338
170310307011001,-87.6569416,41.98276429
170310306041002,-87.65558649,41.9846316
170310307022000,-87.65491446,41.98148518
