,stop_id,stop_name,stop_lat,stop_lon,starttime,endtime,route_id,route_type
0,15314,Indiana & 35th Street,41.83131644,-87.62167682,20400,65700,1,3
1,15314,Indiana & 35th Street,41.83131644,-87.62167682,2400,87513,4,3
2,1560,Indiana & 34th Street,41.832975,-87.621707,20428,65728,1,3
3,1560,Indiana & 34th Street,41.832975,-87.621707,2433,87548,4,3
4,16119,Indiana & 33rd Boulevard,41.834948600000004,-87.62175239,20466,65766,1,3
5,16119,Indiana & 33rd Boulevard,41.834948600000004,-87.62175239,2471,87587,4,3
6,1562,Indiana & 32nd Street,41.83643,-87.621758,20493,65793,1,3
7,1562,Indiana & 32nd Street,41.83643,-87.621758,2494,87612,4,3
8,1563,Indiana & 31st Street,41.838248,-87.621825,20529,65829,1,3
9,1563,Indiana & 31st Street,41.838248,-87.621825,2525,87645,4,3
10,1564,3000 S Michigan,41.840602000000004,-87.623115,20586,65886,1,3
11,1564,3000 S Michigan,41.840602000000004,-87.623115,2575,87698,4,3
12,1565,Michigan & 29th Street,41.841882,-87.62324,20612,65912,1,3
13,1565,Michigan & 29th Street,41.841882,-87.62324,2598,87722,4,3
14,1566,Michigan & 28th Street,41.84363,-87.623248,20647,65947,1,3
15,1566,Michigan & 28th Street,41.84363,-87.623248,2628,87754,4,3
16,1567,Michigan & 26th Street,41.84588766,-87.62332019,20690,65990,1,3
17,1567,Michigan & 26th Street,41.84588766,-87.62332019,17830,83574,21,3
18,1567,Michigan & 26th Street,41.84588766,-87.62332019,2666,87793,4,3
19,1568,Michigan & 25th Street,41.847313,-87.6235,20718,66018,1,3
20,1568,Michigan & 25th Street,41.847313,-87.6235,17858,83610,21,3
21,1568,Michigan & 25th Street,41.847313,-87.6235,18011,21011,3,3
22,1568,Michigan & 25th Street,41.847313,-87.6235,2691,87819,4,3
23,15313,Michigan & 24th Street,41.84946141,-87.62360265,20760,66060,1,3
24,15313,Michigan & 24th Street,41.84946141,-87.62360265,2727,87857,4,3
25,1570,Michigan & 23rd Street,41.85114934,-87.62358591,20795,66095,1,3
26,1570,Michigan & 23rd Street,41.85114934,-87.62358591,2757,87889,4,3
27,15312,Michigan & Cermak,41.85318625,-87.62370873,20834,66134,1,3
28,15312,Michigan & Cermak,41.85318625,-87.62370873,18428,85627,3,3
29,15312,Michigan & Cermak,41.85318625,-87.62370873,2791,87925,4,3
30,1573,Michigan & 21st Street,41.85452045,-87.62374128,20857,66157,1,3
31,1573,Michigan & 21st Street,41.85452045,-87.62374128,18453,85649,3,3
32,1573,Michigan & 21st Street,41.85452045,-87.62374128,2811,87946,4,3
33,1574,Michigan & Cullerton,41.85571036,-87.62377044,20880,66180,1,3
34,1574,Michigan & Cullerton,41.85571036,-87.62377044,18480,85673,3,3
35,1574,Michigan & Cullerton,41.85571036,-87.62377044,2831,87967,4,3
36,1575,Michigan & 18th Street,41.85812678,-87.62382740000001,20927,66227,1,3
37,1575,Michigan & 18th Street,41.85812678,-87.62382740000001,18534,85721,3,3
38,1575,Michigan & 18th Street,41.85812678,-87.62382740000001,2872,88010,4,3
39,14760,Michigan & 16th Street,41.86050195,-87.62388008,20976,66276,1,3
40,14760,Michigan & 16th Street,41.86050195,-87.62388008,14906,85862,12,3
41,14760,Michigan & 16th Street,41.86050195,-87.62388008,632,28349,12,3
